FUN_004868-T1 XP_014564222.1
FUN_001329-T1 XP_014564172.1
FUN_001331-T1 XP_014562921.1
FUN_001335-T1 XP_014564156.1
FUN_001370-T1 XP_014563406.1
FUN_001371-T1 XP_014563405.1
FUN_001375-T1 XP_014563366.1
FUN_001377-T1 XP_014564374.1
FUN_001396-T1 XP_014563412.1
FUN_001409-T1 XP_014564521.1
FUN_001410-T1 XP_014563352.1
FUN_001424-T1 XP_014564493.1
FUN_001431-T1 XP_014564043.1
FUN_001443-T1 XP_014563671.1
FUN_001460-T1 XP_014564524.1
FUN_001470-T1 XP_014563613.1
FUN_001472-T1 XP_014563614.1
FUN_001473-T1 XP_014563615.1
FUN_001474-T1 XP_014563597.1
FUN_001483-T1 XP_014562847.1
FUN_001500-T1 XP_014563608.1
FUN_001502-T1 XP_014563611.1
FUN_001521-T1 XP_014563584.1
FUN_001525-T1 XP_014564227.1
FUN_001526-T1 XP_014564138.1
FUN_001529-T1 XP_014563600.1
FUN_001537-T1 XP_014563948.1
FUN_001538-T1 XP_014564634.1
FUN_001568-T1 XP_014564628.1
FUN_001569-T1 XP_014564627.1
FUN_001572-T1 XP_014564620.1
FUN_001579-T1 XP_014564619.1
FUN_001580-T1 XP_014564618.1
FUN_001592-T1 XP_014563941.1
FUN_001596-T1 XP_014564273.1
FUN_001597-T1 XP_014562875.1
FUN_001598-T1 XP_014564302.1
FUN_001599-T1 XP_014564616.1
FUN_001600-T1 XP_014564609.1
FUN_001606-T1 XP_014564158.1
FUN_001607-T1 XP_014564150.1
FUN_001617-T1 XP_014563493.1
FUN_001618-T1 XP_014564610.1
FUN_001619-T1 XP_014564608.1
FUN_001620-T1 XP_014564415.1
FUN_001624-T1 XP_014564263.1
FUN_001626-T1 XP_014564542.1
FUN_001627-T1 XP_014564603.1
FUN_001628-T1 XP_014564604.1
FUN_001632-T1 XP_014564602.1
FUN_001662-T1 XP_014563418.1
FUN_001697-T1 XP_014564593.1
FUN_001725-T1 XP_014564353.1
FUN_001726-T1 XP_014563117.1
FUN_001727-T1 XP_014564338.1
FUN_001728-T1 XP_014563277.1
FUN_001731-T1 XP_014562984.1
FUN_001735-T1 XP_014564223.1
FUN_001739-T1 XP_014564135.1
FUN_001743-T1 XP_014564601.1
FUN_001745-T1 XP_014564226.1
FUN_001769-T1 XP_014564483.1
FUN_001783-T1 XP_014563241.1
FUN_001786-T1 XP_014564233.1
FUN_001797-T1 XP_014564238.1
FUN_001805-T1 XP_014564236.1
FUN_001832-T1 XP_014564243.1
FUN_001834-T1 XP_014563434.1
FUN_001838-T1 XP_014564254.1
FUN_001842-T1 XP_014564248.1
FUN_001847-T1 XP_014564253.1
FUN_001866-T1 XP_014564258.1
FUN_001867-T1 XP_014564259.1
FUN_001879-T1 XP_014564615.1
FUN_001881-T1 XP_014562916.1
FUN_001885-T1 XP_014564417.1
FUN_001888-T1 XP_014564270.1
FUN_001894-T1 XP_014563883.1
FUN_001901-T1 XP_014564276.1
FUN_001903-T1 XP_014564280.1
FUN_001904-T1 XP_014564281.1
FUN_001905-T1 XP_014564282.1
FUN_001938-T1 XP_014564215.1
FUN_001940-T1 XP_014564214.1
FUN_001942-T1 XP_014564213.1
FUN_001945-T1 XP_014564198.1
FUN_001946-T1 XP_014563061.1
FUN_001950-T1 XP_014564121.1
FUN_001953-T1 XP_014563998.1
FUN_001954-T1 XP_014564294.1
FUN_001956-T1 XP_014564291.1
FUN_001962-T1 XP_014563712.1
FUN_001964-T1 XP_014563141.1
FUN_001966-T1 XP_014563399.1
FUN_001973-T1 XP_014564454.1
FUN_001976-T1 XP_014564436.1
FUN_001980-T1 XP_014564289.1
FUN_001981-T1 XP_014563024.1
FUN_001997-T1 XP_014564431.1
FUN_002001-T1 XP_014564596.1
FUN_002005-T1 XP_014562998.1
FUN_002011-T1 XP_014564305.1
FUN_002015-T1 XP_014564306.1
FUN_002019-T1 XP_014564307.1
FUN_002020-T1 XP_014564308.1
FUN_002021-T1 XP_014563329.1
FUN_002022-T1 XP_014564432.1
FUN_002029-T1 XP_014563410.1
FUN_002047-T1 XP_014564311.1
FUN_002057-T1 XP_014564319.1
FUN_002058-T1 XP_014564317.1
FUN_002059-T1 XP_014564315.1
FUN_002060-T1 XP_014564325.1
FUN_002065-T1 XP_014564324.1
FUN_002081-T1 XP_014564255.1
FUN_002086-T1 XP_014564323.1
FUN_002088-T1 XP_014564322.1
FUN_002089-T1 XP_014564321.1
FUN_002116-T1 XP_014563390.1
FUN_002117-T1 XP_014564342.1
FUN_002126-T1 XP_014564310.1
FUN_002137-T1 XP_014564167.1
FUN_002138-T1 XP_014562930.1
FUN_002144-T1 XP_014564347.1
FUN_002149-T1 XP_014563245.1
FUN_002173-T1 XP_014564580.1
FUN_002174-T1 XP_014564579.1
FUN_002178-T1 XP_014564573.1
FUN_002179-T1 XP_014564572.1
FUN_002180-T1 XP_014564576.1
FUN_002193-T1 XP_014564574.1
FUN_002195-T1 XP_014563591.1
FUN_002197-T1 XP_014564575.1
FUN_002199-T1 XP_014564567.1
FUN_002207-T1 XP_014563816.1
FUN_002209-T1 XP_014563382.1
FUN_002214-T1 XP_014564560.1
FUN_002215-T1 XP_014563517.1
FUN_002217-T1 XP_014564538.1
FUN_002218-T1 XP_014564537.1
FUN_002220-T1 XP_014564266.1
FUN_002234-T1 XP_014564541.1
FUN_002237-T1 XP_014564540.1
FUN_002245-T1 XP_014563237.1
FUN_002246-T1 XP_014564466.1
FUN_002247-T1 XP_014563375.1
FUN_002252-T1 XP_014564465.1
FUN_002254-T1 XP_014563880.1
FUN_002274-T1 XP_014563594.1
FUN_002280-T1 XP_014563781.1
FUN_002298-T1 XP_014563782.1
FUN_002300-T1 XP_014564187.1
FUN_002301-T1 XP_014564141.1
FUN_002302-T1 XP_014564192.1
FUN_002303-T1 XP_014564523.1
FUN_002306-T1 XP_014563214.1
FUN_002307-T1 XP_014563016.1
FUN_002308-T1 XP_014564256.1
FUN_002312-T1 XP_014563564.1
FUN_002313-T1 XP_014564055.1
FUN_002317-T1 XP_014562849.1
FUN_002319-T1 XP_014563796.1
FUN_002323-T1 XP_014563707.1
FUN_002327-T1 XP_014564556.1
FUN_002328-T1 XP_014564555.1
FUN_002341-T1 XP_014563619.1
FUN_002342-T1 XP_014563067.1
FUN_002348-T1 XP_014564559.1
FUN_002362-T1 XP_014564550.1
FUN_002365-T1 XP_014564547.1
FUN_002366-T1 XP_014564549.1
FUN_002369-T1 XP_014564546.1
FUN_002372-T1 XP_014564545.1
FUN_002393-T1 XP_014563207.1
FUN_002394-T1 XP_014564072.1
FUN_002396-T1 XP_014563577.1
FUN_002397-T1 XP_014564073.1
FUN_002399-T1 XP_014562970.1
FUN_002401-T1 XP_014564075.1
FUN_002416-T1 XP_014564078.1
FUN_002417-T1 XP_014564077.1
FUN_002419-T1 XP_014563398.1
FUN_002422-T1 XP_014563849.1
FUN_002449-T1 XP_014562850.1
FUN_002455-T1 XP_014562962.1
FUN_002462-T1 XP_014564242.1
FUN_002463-T1 XP_014562920.1
FUN_002466-T1 XP_014564257.1
FUN_002467-T1 XP_014562919.1
FUN_002483-T1 XP_014562924.1
FUN_002484-T1 XP_014562944.1
FUN_002499-T1 XP_014562935.1
FUN_002506-T1 XP_014562938.1
FUN_002507-T1 XP_014562928.1
FUN_002512-T1 XP_014562868.1
FUN_002515-T1 XP_014562841.1
FUN_002517-T1 XP_014562927.1
FUN_002522-T1 XP_014562838.1
FUN_002524-T1 XP_014564246.1
FUN_002525-T1 XP_014562923.1
FUN_002527-T1 XP_014563263.1
FUN_002531-T1 XP_014563402.1
FUN_002534-T1 XP_014562840.1
FUN_002537-T1 XP_014564516.1
FUN_002544-T1 XP_014563899.1
FUN_002547-T1 XP_014562837.1
FUN_002548-T1 XP_014562835.1
FUN_002549-T1 XP_014563925.1
FUN_002556-T1 XP_014562828.1
FUN_002557-T1 XP_014562829.1
FUN_002559-T1 XP_014563612.1
FUN_002565-T1 XP_014563302.1
FUN_002569-T1 XP_014563152.1
FUN_002573-T1 XP_014564118.1
FUN_002575-T1 XP_014563944.1
FUN_002583-T1 XP_014563942.1
FUN_002584-T1 XP_014563190.1
FUN_002585-T1 XP_014564097.1
FUN_002586-T1 XP_014563223.1
FUN_002588-T1 XP_014564345.1
FUN_002594-T1 XP_014564332.1
FUN_002611-T1 XP_014562957.1
FUN_002612-T1 XP_014562874.1
FUN_002615-T1 XP_014563927.1
FUN_002618-T1 XP_014563037.1
FUN_002623-T1 XP_014563931.1
FUN_002625-T1 XP_014563930.1
FUN_002630-T1 XP_014563926.1
FUN_002632-T1 XP_014563949.1
FUN_002635-T1 XP_014563938.1
FUN_002638-T1 XP_014564103.1
FUN_002639-T1 XP_014564102.1
FUN_002640-T1 XP_014563826.1
FUN_002643-T1 XP_014564101.1
FUN_002646-T1 XP_014564098.1
FUN_002647-T1 XP_014564099.1
FUN_002649-T1 XP_014562846.1
FUN_002651-T1 XP_014563934.1
FUN_002656-T1 XP_014564105.1
FUN_002657-T1 XP_014563635.1
FUN_002658-T1 XP_014563437.1
FUN_002660-T1 XP_014563937.1
FUN_002661-T1 XP_014564108.1
FUN_002664-T1 XP_014564533.1
FUN_002669-T1 XP_014563936.1
FUN_002671-T1 XP_014563914.1
FUN_002672-T1 XP_014562870.1
FUN_002673-T1 XP_014564265.1
FUN_002674-T1 XP_014563918.1
FUN_002676-T1 XP_014563775.1
FUN_002677-T1 XP_014564440.1
FUN_002678-T1 XP_014563922.1
FUN_002687-T1 XP_014563923.1
FUN_002688-T1 XP_014563912.1
FUN_002689-T1 XP_014563924.1
FUN_002690-T1 XP_014563910.1
FUN_002691-T1 XP_014563909.1
FUN_002695-T1 XP_014564086.1
FUN_002696-T1 XP_014564087.1
FUN_002697-T1 XP_014564088.1
FUN_002698-T1 XP_014564094.1
FUN_002699-T1 XP_014562827.1
FUN_002701-T1 XP_014563951.1
FUN_002702-T1 XP_014563952.1
FUN_002703-T1 XP_014563953.1
FUN_002704-T1 XP_014563954.1
FUN_002705-T1 XP_014563955.1
FUN_002709-T1 XP_014563957.1
FUN_002710-T1 XP_014563509.1
FUN_002732-T1 XP_014563868.1
FUN_002745-T1 XP_014564474.1
FUN_002750-T1 XP_014564461.1
FUN_002751-T1 XP_014564478.1
FUN_002752-T1 XP_014563695.1
FUN_002763-T1 XP_014564442.1
FUN_002777-T1 XP_014564441.1
FUN_002783-T1 XP_014564381.1
FUN_002787-T1 XP_014564445.1
FUN_002788-T1 XP_014564568.1
FUN_002792-T1 XP_014564448.1
FUN_002795-T1 XP_014562925.1
FUN_002796-T1 XP_014563085.1
FUN_002798-T1 XP_014564443.1
FUN_002800-T1 XP_014564450.1
FUN_002803-T1 XP_014564424.1
FUN_002804-T1 XP_014564435.1
FUN_002806-T1 XP_014564475.1
FUN_002819-T1 XP_014564426.1
FUN_002820-T1 XP_014564268.1
FUN_002822-T1 XP_014564423.1
FUN_002824-T1 XP_014564447.1
FUN_002828-T1 XP_014564320.1
FUN_002830-T1 XP_014564422.1
FUN_002835-T1 XP_014564071.1
FUN_002837-T1 XP_014562898.1
FUN_002841-T1 XP_014564563.1
FUN_002858-T1 XP_014564413.1
FUN_002865-T1 XP_014564414.1
FUN_002866-T1 XP_014564419.1
FUN_002870-T1 XP_014563638.1
FUN_002872-T1 XP_014563162.1
FUN_002873-T1 XP_014564418.1
FUN_002875-T1 XP_014563066.1
FUN_002878-T1 XP_014564412.1
FUN_002880-T1 XP_014563114.1
FUN_002890-T1 XP_014564411.1
FUN_002908-T1 XP_014563475.1
FUN_002925-T1 XP_014563005.1
FUN_002943-T1 XP_014562999.1
FUN_002944-T1 XP_014563774.1
FUN_002946-T1 XP_014562997.1
FUN_002948-T1 XP_014562994.1
FUN_002956-T1 XP_014562988.1
FUN_002957-T1 XP_014564095.1
FUN_002959-T1 XP_014563516.1
FUN_002964-T1 XP_014562991.1
FUN_002987-T1 XP_014564286.1
FUN_002988-T1 XP_014563318.1
FUN_002989-T1 XP_014564081.1
FUN_002997-T1 XP_014563403.1
FUN_002998-T1 XP_014564485.1
FUN_002999-T1 XP_014564581.1
FUN_003013-T1 XP_014563395.1
FUN_003022-T1 XP_014563487.1
FUN_003023-T1 XP_014563486.1
FUN_003024-T1 XP_014564016.1
FUN_003025-T1 XP_014563928.1
FUN_003028-T1 XP_014564045.1
FUN_003043-T1 XP_014563546.1
FUN_003044-T1 XP_014563485.1
FUN_003045-T1 XP_014563468.1
FUN_003046-T1 XP_014564316.1
FUN_003052-T1 XP_014564544.1
FUN_003054-T1 XP_014563096.1
FUN_003067-T1 XP_014563035.1
FUN_003069-T1 XP_014564196.1
FUN_003085-T1 XP_014563630.1
FUN_003086-T1 XP_014563766.1
FUN_003091-T1 XP_014563629.1
FUN_003092-T1 XP_014563628.1
FUN_003112-T1 XP_014563627.1
FUN_003113-T1 XP_014563631.1
FUN_003119-T1 XP_014562912.1
FUN_003133-T1 XP_014563155.1
FUN_003136-T1 XP_014563432.1
FUN_003141-T1 XP_014564384.1
FUN_003142-T1 XP_014564186.1
FUN_003147-T1 XP_014563149.1
FUN_003152-T1 XP_014563151.1
FUN_003154-T1 XP_014563145.1
FUN_003157-T1 XP_014563148.1
FUN_003161-T1 XP_014564473.1
FUN_003162-T1 XP_014564472.1
FUN_003167-T1 XP_014563144.1
FUN_003168-T1 XP_014564390.1
FUN_003170-T1 XP_014563902.1
FUN_003171-T1 XP_014564527.1
FUN_003175-T1 XP_014563651.1
FUN_003187-T1 XP_014562897.1
FUN_003189-T1 XP_014563138.1
FUN_003192-T1 XP_014563962.1
FUN_003196-T1 XP_014563968.1
FUN_003199-T1 XP_014563139.1
FUN_003205-T1 XP_014564514.1
FUN_003206-T1 XP_014563031.1
FUN_003207-T1 XP_014563137.1
FUN_003212-T1 XP_014563136.1
FUN_003233-T1 XP_014563893.1
FUN_003236-T1 XP_014564405.1
FUN_003240-T1 XP_014563890.1
FUN_003249-T1 XP_014563126.1
FUN_003250-T1 XP_014563795.1
FUN_003260-T1 XP_014563124.1
FUN_003261-T1 XP_014562848.1
FUN_003264-T1 XP_014564237.1
FUN_003265-T1 XP_014563280.1
FUN_003268-T1 XP_014564221.1
FUN_003280-T1 XP_014564528.1
FUN_003308-T1 XP_014563512.1
FUN_003309-T1 XP_014564056.1
FUN_003314-T1 XP_014563723.1
FUN_003315-T1 XP_014563456.1
FUN_003326-T1 XP_014563163.1
FUN_003330-T1 XP_014563975.1
FUN_003331-T1 XP_014564304.1
FUN_003333-T1 XP_014563000.1
FUN_003334-T1 XP_014563604.1
FUN_003340-T1 XP_014563118.1
FUN_003342-T1 XP_014563013.1
FUN_003343-T1 XP_014563553.1
FUN_003354-T1 XP_014563367.1
FUN_003355-T1 XP_014563690.1
FUN_003357-T1 XP_014563189.1
FUN_003373-T1 XP_014563828.1
FUN_003376-T1 XP_014564621.1
FUN_003377-T1 XP_014564496.1
FUN_003378-T1 XP_014563058.1
FUN_003379-T1 XP_014563408.1
FUN_003381-T1 XP_014563325.1
FUN_003386-T1 XP_014563133.1
FUN_003387-T1 XP_014564614.1
FUN_003390-T1 XP_014564217.1
FUN_003391-T1 XP_014563503.1
FUN_003395-T1 XP_014563464.1
FUN_003396-T1 XP_014563161.1
FUN_003405-T1 XP_014563053.1
FUN_003409-T1 XP_014563397.1
FUN_003411-T1 XP_014563047.1
FUN_003418-T1 XP_014563048.1
FUN_003421-T1 XP_014563195.1
FUN_003429-T1 XP_014563036.1
FUN_003430-T1 XP_014563109.1
FUN_003431-T1 XP_014563041.1
