FUN_004868-T1 M896_020140
FUN_002841-T1 M896_011760
FUN_002858-T1 M896_010220
FUN_002865-T1 M896_010230
FUN_002866-T1 M896_010290
FUN_002870-T1 M896_060970
FUN_002872-T1 M896_090440
FUN_002873-T1 M896_010280
FUN_002875-T1 M896_100080
FUN_002878-T1 M896_010210
FUN_002880-T1 M896_100560
FUN_002890-T1 M896_010200
FUN_002908-T1 M896_081730
FUN_002925-T1 M896_121860
FUN_002943-T1 M896_121800
FUN_002944-T1 M896_051410
FUN_002946-T1 M896_121780
FUN_002948-T1 M896_121750
FUN_002956-T1 M896_121690
FUN_002957-T1 M896_030380
FUN_002959-T1 M896_070420
FUN_002964-T1 M896_121720
FUN_002987-T1 M896_020800
FUN_002988-T1 M896_080090
FUN_002989-T1 M896_030240
FUN_002997-T1 M896_080970
FUN_002998-T1 M896_010960
FUN_002999-T1 M896_011940
FUN_003013-T1 M896_080890
FUN_003022-T1 M896_070110
FUN_003023-T1 M896_070100
FUN_003024-T1 M896_041720
FUN_003025-T1 M896_040810
FUN_003028-T1 M896_042030
FUN_003043-T1 M896_060020
FUN_003044-T1 M896_070090
FUN_003045-T1 M896_081660
FUN_003046-T1 M896_021120
FUN_003052-T1 M896_011560
FUN_003054-T1 M896_100380
FUN_003067-T1 M896_110210
FUN_003069-T1 M896_031430
FUN_003085-T1 M896_060880
FUN_003086-T1 M896_051330
FUN_003091-T1 M896_060870
FUN_003092-T1 M896_060860
FUN_003112-T1 M896_060850
FUN_003113-T1 M896_060900
FUN_003119-T1 M896_120920
FUN_003133-T1 M896_090370
FUN_003136-T1 M896_081260
FUN_003141-T1 M896_021820
FUN_003142-T1 M896_031310
FUN_003147-T1 M896_090310
FUN_003152-T1 M896_090330
FUN_003154-T1 M896_090270
FUN_003157-T1 M896_090300
FUN_003161-T1 M896_010840
FUN_003162-T1 M896_010830
FUN_003167-T1 M896_090260
FUN_003168-T1 M896_021880
FUN_003170-T1 M896_040530
FUN_003171-T1 M896_011390
FUN_003175-T1 M896_050140
FUN_003187-T1 M896_120770
FUN_003189-T1 M896_090200
FUN_003192-T1 M896_041170
FUN_003196-T1 M896_041230
FUN_003199-T1 M896_090210
FUN_003205-T1 M896_011260
FUN_003206-T1 M896_110170
FUN_003207-T1 M896_090190
FUN_003212-T1 M896_090180
FUN_003233-T1 M896_040440
FUN_003236-T1 M896_010140
FUN_003240-T1 M896_040410
FUN_003249-T1 M896_090070
FUN_003250-T1 M896_051620
FUN_003260-T1 M896_090050
FUN_003261-T1 M896_120240
FUN_003264-T1 M896_020290
FUN_003265-T1 M896_091660
FUN_003268-T1 M896_020130
FUN_003280-T1 M896_011400
FUN_003308-T1 M896_070380
FUN_003309-T1 M896_042140
FUN_003314-T1 M896_050880
FUN_003315-T1 M896_081540
FUN_003326-T1 M896_090450
FUN_003330-T1 M896_041300
FUN_003331-T1 M896_020990
FUN_003333-T1 M896_121810
FUN_003334-T1 M896_060610
FUN_003340-T1 M896_100600
FUN_003342-T1 M896_121940
FUN_003343-T1 M896_060090
FUN_003354-T1 M896_080590
FUN_003355-T1 M896_050550
FUN_003357-T1 M896_090730
FUN_003373-T1 M896_051950
FUN_003376-T1 M896_012350
FUN_003377-T1 M896_011080
FUN_003378-T1 M896_110460
FUN_003379-T1 M896_081020
FUN_003381-T1 M896_080170
FUN_003386-T1 M896_090140
FUN_003387-T1 M896_012280
FUN_003390-T1 M896_020090
FUN_003391-T1 M896_070270
FUN_003395-T1 M896_081620
FUN_003396-T1 M896_090430
FUN_003405-T1 M896_110410
FUN_003409-T1 M896_080910
FUN_003411-T1 M896_110350
FUN_003418-T1 M896_110360
FUN_003421-T1 M896_090790
FUN_003429-T1 M896_110230
FUN_003430-T1 M896_100510
FUN_003431-T1 M896_110280
FUN_003433-T1 M896_110270
FUN_003449-T1 M896_021590
FUN_003452-T1 M896_051570
FUN_003453-T1 M896_052180
FUN_003456-T1 M896_110290
FUN_003459-T1 M896_060450
FUN_003466-T1 M896_021750
FUN_003467-T1 M896_011820
FUN_003468-T1 M896_080250
FUN_003477-T1 M896_052150
FUN_003478-T1 M896_080850
FUN_003479-T1 M896_110180
FUN_003482-T1 M896_100290
FUN_003487-T1 M896_090660
FUN_003490-T1 M896_050740
FUN_003491-T1 M896_110140
FUN_003492-T1 M896_110010
FUN_003493-T1 M896_110130
FUN_003495-T1 M896_041250
FUN_003496-T1 M896_052090
FUN_003497-T1 M896_051730
FUN_003505-T1 M896_040510
FUN_003511-T1 M896_080650
FUN_003516-T1 M896_110050
FUN_003517-T1 M896_110070
FUN_003520-T1 M896_040350
FUN_003527-T1 M896_100430
FUN_003531-T1 M896_121560
FUN_003543-T1 M896_100420
FUN_003571-T1 M896_080550
FUN_003573-T1 M896_080220
FUN_003574-T1 M896_080270
FUN_003575-T1 M896_100130
FUN_003577-T1 M896_100190
FUN_003578-T1 M896_100210
FUN_003617-T1 M896_041630
FUN_003618-T1 M896_120560
FUN_003619-T1 M896_040270
FUN_003621-T1 M896_060550
FUN_003623-T1 M896_080420
FUN_003624-T1 M896_080400
FUN_003625-T1 M896_021270
FUN_003627-T1 M896_080390
FUN_003630-T1 M896_080380
FUN_003631-T1 M896_080360
FUN_003633-T1 M896_080120
FUN_003637-T1 M896_010740
FUN_003640-T1 M896_080350
FUN_003647-T1 M896_080320
FUN_003651-T1 M896_081270
FUN_003652-T1 M896_080280
FUN_003653-T1 M896_080230
FUN_003657-T1 M896_080190
FUN_003661-T1 M896_080200
FUN_003695-T1 M896_080110
FUN_003716-T1 M896_091650
FUN_003717-T1 M896_080100
FUN_003718-T1 M896_060470
FUN_003725-T1 M896_080020
FUN_003726-T1 M896_051910
FUN_003732-T1 M896_080030
FUN_003739-T1 M896_012270
FUN_003743-T1 M896_050230
FUN_003752-T1 M896_052020
FUN_003756-T1 M896_080060
FUN_003767-T1 M896_051220
FUN_003771-T1 M896_080530
FUN_003773-T1 M896_041530
FUN_003774-T1 M896_021420
FUN_003791-T1 M896_120430
FUN_003799-T1 M896_080670
FUN_003809-T1 M896_080710
FUN_003815-T1 M896_080720
FUN_003816-T1 M896_080730
FUN_003818-T1 M896_060100
FUN_003820-T1 M896_080740
FUN_003824-T1 M896_080760
FUN_003844-T1 M896_080790
FUN_003846-T1 M896_080770
FUN_003869-T1 M896_090290
FUN_003889-T1 M896_021470
FUN_003900-T1 M896_080870
FUN_003901-T1 M896_080880
FUN_003912-T1 M896_080900
FUN_003934-T1 M896_091610
FUN_003937-T1 M896_091590
FUN_003942-T1 M896_042050
FUN_003943-T1 M896_042040
FUN_003948-T1 M896_091550
FUN_003953-T1 M896_091530
FUN_003964-T1 M896_041340
FUN_003970-T1 M896_091420
FUN_003976-T1 M896_091430
FUN_003980-T1 M896_070160
FUN_003983-T1 M896_080300
FUN_003985-T1 M896_110030
FUN_003988-T1 M896_011270
FUN_003991-T1 M896_091390
FUN_003996-T1 M896_020550
FUN_003997-T1 M896_060160
FUN_003998-T1 M896_091340
FUN_004000-T1 M896_081140
FUN_004032-T1 M896_091100
FUN_004048-T1 M896_080240
FUN_004050-T1 M896_091110
FUN_004054-T1 M896_040120
FUN_004067-T1 M896_091190
FUN_004068-T1 M896_091150
FUN_004070-T1 M896_091060
FUN_004075-T1 M896_091080
FUN_004076-T1 M896_010630
FUN_004078-T1 M896_091500
FUN_004079-T1 M896_091020
FUN_004087-T1 M896_052060
FUN_004096-T1 M896_050790
FUN_004104-T1 M896_090890
FUN_004107-T1 M896_090880
FUN_004109-T1 M896_090870
FUN_004112-T1 M896_090860
FUN_004113-T1 M896_090850
FUN_004116-T1 M896_090840
FUN_004118-T1 M896_090830
FUN_004119-T1 M896_090810
FUN_004121-T1 M896_040740
FUN_004122-T1 M896_090980
FUN_004123-T1 M896_090710
FUN_004124-T1 M896_090720
FUN_004130-T1 M896_120090
FUN_004135-T1 M896_090750
FUN_004138-T1 M896_090770
FUN_004139-T1 M896_110250
FUN_004145-T1 M896_100370
FUN_004146-T1 M896_100280
FUN_004148-T1 M896_090670
FUN_004150-T1 M896_090690
FUN_004157-T1 M896_090590
FUN_004161-T1 M896_090580
FUN_004162-T1 M896_091160
FUN_004166-T1 M896_110190
